area_type,availability,location,size,total_sqft,bath,balcony,City,Price,BHK,ready_to_move,price_per_sqft
Super built-up  Area,19-12-2024 00:00,Electronic City Phase II,2 BHK,1056,2,1,Bangalore,3907000,2,0,3699.810606
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,2600,5,3,Bangalore,12000000,4,1,4615.384615
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1440,2,3,Bangalore,6200000,3,1,4305.555556
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1521,3,1,Bangalore,9500000,3,1,6245.890861
Super built-up  Area,Ready To Move,Kothanur,2 BHK,1200,2,1,Bangalore,5100000,2,1,4250
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1170,2,1,Bangalore,3800000,2,1,3247.863248
Super built-up  Area,18-05-2024 00:00,Old Airport Road,4 BHK,2732,4,2,Bangalore,20400000,4,0,7467.057101
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,3300,4,2,Bangalore,60000000,4,1,18181.81818
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1310,3,1,Bangalore,6325000,3,1,4828.244275
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,1020,6,2,Bangalore,37000000,6,1,36274.5098
Super built-up  Area,18-02-2024 00:00,Whitefield,3 BHK,1800,2,2,Bangalore,7000000,3,0,3888.888889
Plot  Area,Ready To Move,Whitefield,4 Bedroom,2785,5,3,Bangalore,29500000,4,1,10592.45961
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000,2,1,Bangalore,3800000,2,1,3800
Built-up  Area,Ready To Move,Gottigere,2 BHK,1100,2,2,Bangalore,4000000,2,1,3636.363636
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,2250,3,2,Bangalore,14800000,3,1,6577.777778
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,1175,2,2,Bangalore,7350000,2,1,6255.319149
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1180,3,2,Bangalore,4800000,3,1,4067.79661
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1540,3,3,Bangalore,6000000,3,1,3896.103896
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,2770,4,2,Bangalore,29000000,3,1,10469.31408
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,1100,2,2,Bangalore,4800000,2,1,4363.636364
Built-up  Area,Ready To Move,Kengeri,1 BHK,600,1,1,Bangalore,1500000,1,1,2500
Super built-up  Area,19-12-2024 00:00,Binny Pete,3 BHK,1755,3,1,Bangalore,12200000,3,0,6951.566952
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,2800,5,2,Bangalore,38000000,4,1,13571.42857
Super built-up  Area,Ready To Move,Bellandur,3 BHK,1767,3,1,Bangalore,10300000,3,1,5829.088851
Super built-up  Area,18-11-2024 00:00, Thanisandra,1 RK,510,1,0,Bangalore,2525000,1,0,4950.980392
Super built-up  Area,18-05-2024 00:00,Mangammanapalya,3 BHK,1250,3,2,Bangalore,5600000,3,0,4480
Super built-up  Area,Ready To Move,Electronic City,2 BHK,660,1,1,Bangalore,2310000,2,1,3500
Built-up  Area,20-12-2024 00:00,Whitefield,3 BHK,1610,3,2,Bangalore,8100000,3,0,5031.055901
Super built-up  Area,17-10-2024 00:00,Ramagondanahalli,2 BHK,1151,2,2,Bangalore,4877000,2,0,4237.185056
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1025,2,1,Bangalore,4700000,3,1,4585.365854
Super built-up  Area,19-12-2024 00:00,Yelahanka,4 BHK,2475,4,0,Bangalore,18600000,4,0,7515.151515
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2,1,Bangalore,3500000,3,1,3255.813953
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1760,2,2,Bangalore,12300000,3,1,6988.636364
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1693,3,3,Bangalore,5739000,3,1,3389.84052
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,1925,3,2,Bangalore,12500000,3,1,6493.506494
